N,beta,|beta-1|,R2,cobertura_S2_%,n_unicos,n_totales,diversidad,rk_betaZipf,rk_R2,rk_cobertura,score_medio
6,1.5968311021541914,0.5968311021541914,0.9774793896283845,47.32927653820148,1617,110315,0.01465802474731451,7.0,1.0,2.0,3.3333333333333335
7,1.4046416129619603,0.40464161296196033,0.9771914518105497,44.24160468785215,2815,110188,0.025547246524122408,6.0,2.0,3.0,3.6666666666666665
8,1.2502067042746163,0.25020670427461633,0.9715186273561768,40.99616858237548,4393,110061,0.039914229381888225,4.0,3.0,4.0,3.6666666666666665
9,1.121257569794659,0.12125756979465896,0.9641189637212513,38.066260987153484,6308,109934,0.05737988247493951,2.0,5.0,5.0,4.0
5,1.8526511043704872,0.8526511043704872,0.9663788947846315,51.76921343249944,793,110442,0.007180239401676898,8.0,4.0,1.0,4.333333333333333
10,1.00878126675005,0.008781266750049976,0.9518337043127475,35.992787919765604,8584,109807,0.07817352263516898,1.0,6.0,6.0,4.333333333333333
12,0.8353400408376274,0.16465995916237264,0.9133571638440444,31.485237773270224,13736,109553,0.12538223508256277,3.0,7.0,7.0,5.666666666666667
15,0.668656734106813,0.33134326589318697,0.8431026014954927,25.963488843813387,21711,109172,0.19886967354266663,5.0,8.0,8.0,7.0
