condicion,destino,t_offset,media,std
REAL,SWS,-15,0.15425566521203407,0.053521463778738725
REAL,SWS,-14,0.16385381082948455,0.07401125172918108
REAL,SWS,-13,0.16066522446791986,0.06437262620791884
REAL,SWS,-12,0.15985082858242095,0.0565520566667837
REAL,SWS,-11,0.158764715373948,0.049179568767026775
REAL,SWS,-10,0.15873231455473832,0.050298330666190355
REAL,SWS,-9,0.16313348513170584,0.06948723762599605
REAL,SWS,-8,0.16125467728087856,0.061655842527674296
REAL,SWS,-7,0.16668974239935822,0.07151285840960993
REAL,SWS,-6,0.17703847057201008,0.09171167376654937
REAL,SWS,-5,0.17832609703439978,0.08760494969510428
REAL,SWS,-4,0.188588285446167,0.10148324706357964
REAL,SWS,-3,0.1912709075079216,0.1000643828459299
REAL,SWS,-2,0.19737984303017736,0.10021352361044604
REAL,SWS,-1,0.2076902307762116,0.10403113309303931
REAL,SWS,0,0.2233946989816317,0.10655914025014321
REAL,REM,-15,0.14791344292461872,0.027574145287867925
REAL,REM,-14,0.16344673058816364,0.09565148957265672
REAL,REM,-13,0.16025775932782405,0.08451096027237834
REAL,REM,-12,0.15751137270739204,0.07606519062321648
REAL,REM,-11,0.15634673037989574,0.05987040530632416
REAL,REM,-10,0.15659088924851106,0.05583242400127355
REAL,REM,-9,0.1670360971518137,0.08602435275888014
REAL,REM,-8,0.16288733928065216,0.07100323953175813
REAL,REM,-7,0.1802917644381523,0.10881229494982057
REAL,REM,-6,0.191216764095075,0.12062816311342897
REAL,REM,-5,0.19304023206233978,0.11060508691448648
REAL,REM,-4,0.1938735967207896,0.10886531982323759
REAL,REM,-3,0.19496586191726017,0.10790751590286411
REAL,REM,-2,0.19334951611523776,0.10055850441928019
REAL,REM,-1,0.20779517868400685,0.11780399116968429
REAL,REM,0,0.23430789018268972,0.15423496372259313
SHUFFLED,SWS,-15,0.20902921677192796,0.021902194984280424
SHUFFLED,SWS,-14,0.2118910582911255,0.02438683363423515
SHUFFLED,SWS,-13,0.21145168808866138,0.02349773899902234
SHUFFLED,SWS,-12,0.21291183505672961,0.026742854392681613
SHUFFLED,SWS,-11,0.21261117747728375,0.026640886994486704
SHUFFLED,SWS,-10,0.21260237567861315,0.02609012016630871
SHUFFLED,SWS,-9,0.21207194800013737,0.0259452855168678
SHUFFLED,SWS,-8,0.21330355629799472,0.027858082723215126
SHUFFLED,SWS,-7,0.21633564158417712,0.028417715220915032
SHUFFLED,SWS,-6,0.21942187160412896,0.030147574901882076
SHUFFLED,SWS,-5,0.22182691527243278,0.03221986460397321
SHUFFLED,SWS,-4,0.2246624545617537,0.03393155627855844
SHUFFLED,SWS,-3,0.227947727633201,0.0364550320123293
SHUFFLED,SWS,-2,0.23224667318060366,0.03688511652098557
SHUFFLED,SWS,-1,0.23732528368005779,0.03703966703705376
SHUFFLED,SWS,0,0.24585520049262585,0.03721338618003071
SHUFFLED,REM,-15,0.21334887252134435,0.009819768286419292
SHUFFLED,REM,-14,0.2139459618500301,0.009643773614693152
SHUFFLED,REM,-13,0.21381123645885572,0.010688103978565382
SHUFFLED,REM,-12,0.21314684536896253,0.011485416541753342
SHUFFLED,REM,-11,0.21230377527800473,0.01152623989586718
SHUFFLED,REM,-10,0.21298561083233875,0.011374146814111096
SHUFFLED,REM,-9,0.21156400469718156,0.012394429559268668
SHUFFLED,REM,-8,0.2115497011691332,0.011656357153982798
SHUFFLED,REM,-7,0.2115585013987526,0.011709221168417005
SHUFFLED,REM,-6,0.21253545560380993,0.0108720101555025
SHUFFLED,REM,-5,0.21130457619825999,0.011212807966237597
SHUFFLED,REM,-4,0.21249979910881897,0.010809161790970084
SHUFFLED,REM,-3,0.21228165475718946,0.011086042395650562
SHUFFLED,REM,-2,0.2120646216820196,0.011361779204501985
SHUFFLED,REM,-1,0.21179389102118357,0.011797537813522725
SHUFFLED,REM,0,0.21311810108668663,0.011588636224559424
